D.O. (mg/l),Temp,PH,Turbidity (NTU),CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),TOTAL COLIFORM (MPN/100ml)Mean,label
3.4,23.27,7.22,210,65,164.9,0.7,14500,0
5.5,23.27,7.22,210,446,9.7,0.2,42875,0
4.7,23.28,7.22,210,94,23.8,0.3,8025,0
5.3,23.27,7.23,210,451,11.3,0.2,63500,0
4.9,23.27,7.23,210,169,23.5,0.5,60000,0
5.3,23.3,7.23,210,187,13,0.4,35000,0
5.1,23.27,7.24,210,1088,14.8,0.1,62,0
4.6,23.29,7.25,210,689,24.3,0.4,20,0
4,23.29,7.25,210,1267,26,0.6,16,0
4.4,23.3,7.25,210,852,21.5,0,20,0
5,23.3,7.26,210,1021,33.9,0.2,166,0
7.1,23.27,7.27,211,1096,1.3,0.9,10,0
7.1,23.25,7.28,211,1002,1.4,2.4,10,0
6.6,23.26,7.28,211,910,1.6,0.5,5,0
4.9,23.27,7.28,211,930,16.3,0.7,74,0
5.5,23.26,7.29,211,960,0.8,2,175,0
5.5,23.26,7.29,211,295,1.1,0,42,0
5,23.25,7.3,211,293,1.7,0,113,0
5.6,23.25,7.3,211,316,1.1,0.8,23,0
7.3,23.25,7.31,211,274,2.1,0.7,5,0
7.2,23.26,7.31,211,407,2.2,1.7,10,0
7.2,23.27,7.31,211,603,2.2,0.6,75,0
7.6,23.25,7.32,211,138,1.8,1,140,0
7.1,23.26,7.32,211,625,2.2,0.9,10,0
5.2,23.25,7.33,211,305,7.8,0.7,95,0
7.3,23.25,7.33,211,552,1.3,0.9,37,0
7.6,23.23,7.33,211,402,1.2,1,8,0
8,23.21,7.34,211,99,1.8,0.9,202,0
7.9,23.23,7.34,211,102,1.4,0.2,33,0
7.4,23.23,7.35,211,72,1.9,0.1,20,0
7.7,23.23,7.35,211,131,1.6,0.1,18,0
6.8,23.23,7.35,211,682,3.2,0.1,23,0
7.1,23.21,7.36,211,47,3.8,0.4,1075,0
7.8,23.23,7.36,211,52,1.6,0.6,682,0
7.3,23.22,7.36,211,64,2,0.1,10,0
7.3,23.2,7.37,211,46,1.8,0.2,10,0
7.4,23.18,7.37,211,53,1.7,0.2,25,0
7.5,23.2,7.38,211,1074,1.5,0.2,78,0
5.8,23.18,7.38,211,237,3.1,0.1,10,0
6.9,23.18,7.39,211,50,1.4,0.2,15,0
7.8,23.16,7.39,211,71,1.9,0.1,53,0
6.6,23.14,7.39,211,91,2.3,0.1,35,0
7.6,23.15,7.4,211,49,1.7,0.1,25,0
7.8,23.13,7.4,211,99,1.4,0.2,10,0
7.7,23.12,7.4,211,50,1.6,0.2,23,0
7.1,23.12,7.41,211,68,1.8,0.9,359,0
7.5,23.13,7.41,211,93,1.6,4.3,2633,0
3.1,23.13,7.42,211,66,21.8,3.6,409,0
4.7,23.12,7.42,211,53,13.6,5,461,0
2.1,23.13,7.42,211,47,37.2,5.9,12,0
1.8,23.11,7.43,211,128,40.6,6.1,18,0
7.2,23.13,7.43,211,54,1.7,6.1,37,0
7.9,23.15,7.43,211,69,1.2,7.7,29,0
6.9,23.13,7.44,211,58,2.2,6.2,340,0
1.9,23.14,7.44,211,401,34.2,5.9,528,0
4.5,23.14,7.44,211,202,15.5,4.2,648,0
7.2,23.15,7.45,211,303,6.7,6.1,5,0
7.2,23.11,7.46,211,52,1.9,0.8,350,0
6.7,23.11,7.47,211,107,4.8,0.4,4,0
6.6,23.08,7.47,211,82,3.7,0,7500,0
7.1,23.08,7.48,211,189,8,1.2,15000,0
7.2,23.08,7.48,211,197,0.7,0.7,23000,0
6.2,23.08,7.48,211,158,9,0.4,108,0
2.2,23.07,7.49,211,161,17.9,0.8,6581,0
2,23.07,7.49,211,165,32.3,0.7,330,0
2.4,23.07,7.49,211,167,6.2,3.8,9575,0
5.9,23.07,7.5,211,183,2.1,4.1,53,0
6.1,23.09,7.5,211,151,1.3,2.8,98,0
5.5,23.06,7.5,211,319,1.3,3,140,0
5.4,23.05,7.51,211,894,1.5,3.2,153,0
5.8,23.03,7.51,212,1835,5.3,2.6,117,0
5.9,23.04,7.51,212,3165,1.5,2.5,123,0
6.4,23.04,7.52,212,1500,1.3,4.3,173,0
6.2,23.05,7.52,212,52,1.3,1.1,139,0
6.1,23.07,7.52,212,408,1.5,2.4,160,0
7.3,23.07,7.53,212,143,0.7,2.5,141,0
6.8,23.08,7.53,212,60,1.5,2.8,136,0
7.4,23.09,7.53,212,34,2.3,2.5,119,0
7,23.07,7.54,212,125,1.6,2.4,157,0
6.3,23.06,7.54,212,175,1.6,2.8,173,0
7.1,23.07,7.54,212,39,0.8,2.1,145,0
7.3,23.03,7.55,212,39,1.2,4.7,107,0
6.7,23.01,7.55,212,61,1,2.4,187,0
7.4,22.98,7.55,212,71,1.3,2,517,0
4.5,22.99,7.55,212,129,2.4,3.7,17,0
2.4,22.96,7.56,212,70,4.8,2.9,350,0
4,22.96,7.56,212,69,1.8,3.5,69,0
5.4,22.95,7.57,212,118,1.6,5.6,582,0
5.3,22.93,7.57,212,80,1.4,3.3,728,0
7,22.91,7.57,212,250,0.8,3,253,0
5.9,22.9,7.57,212,74,2.1,16.9,659,0
7.1,22.9,7.57,212,44,1.7,10.5,1767,0
6.9,22.87,7.57,212,195,3.3,20.3,75,0
6.6,22.88,7.58,212,207,3.2,19.6,820,0
6.6,22.86,7.58,212,40,3.6,3.7,381,0
6.8,22.83,7.58,212,41,3.4,3,212,0
4.8,22.84,7.58,212,54,8.4,2,361,0
6.4,22.83,7.58,212,44,4.2,15.6,261,0
6.8,22.8,7.59,212,60,3,10.3,318,0
6.7,22.81,7.59,212,99,4.6,4.5,217,0
5.8,22.77,7.59,212,123,9.5,2.4,109,0
6.9,22.76,7.59,212,220,3.1,3.3,101,0
4.9,22.77,7.59,212,219,55.5,3.8,80,0
6.9,22.76,7.59,212,5429,2.7,0.1,113,0
6.8,22.75,7.59,212,493,3,0.1,113,0
6.7,22.73,7.6,212,100,2.9,0.1,90,0
5.6,22.73,7.6,212,316,4.5,0.2,92,0
6.5,22.73,7.6,212,37227,3,0,86,0
7.1,22.73,7.6,212,84,3,0.5,83,0
7,22.73,7.61,213,146,2.9,1,359,0
6.4,22.74,7.61,213,127,3.7,8,243,0
6.3,22.74,7.61,213,126,3.5,1,71,0
6.5,22.74,7.61,213,128,3.4,7,74,0
6.3,22.71,7.62,213,129,4.7,1,64,0
6.5,22.71,7.62,213,129,4,1.23,4613,0
7,22.71,7.62,213,153,3.5,11,3483,0
7,22.7,7.62,213,10165,2.9,0,617,0
6.8,22.66,7.62,213,307,3.3,0.87,455,0
6.4,22.67,7.63,213,322,3.2,0,522,0
6.7,22.68,7.63,213,5835,3,0,2193,0
6.7,22.64,7.63,213,9245,2.9,1,3080,0
6.6,22.62,7.63,213,1907,3.5,0,17500,0
6.8,22.57,7.64,213,206,2.9,0.08,935,0
6.9,22.57,7.64,213,239,2.3,0.17,430,0
7,22.56,7.64,213,152,0.8,0.09,4823,0
6.6,22.55,7.65,213,146,1.1,0.08,1825,0
6.6,22.55,7.65,213,137,0.7,0.17,1455,0
6.2,22.55,7.65,213,228,0.8,0.14,900,0
7.1,22.53,7.66,213,409,1,0.1,650,0
7,22.52,7.66,213,263,1.1,0.06,1485,0
6.7,22.54,7.66,213,338,1.1,0.06,540,0
6.2,22.55,7.66,213,79,1,0.09,810,0
7.1,22.54,7.67,213,67,0.9,0.14,900,0
6.3,22.52,7.67,213,59,1.2,0.49,583,0
7.3,22.53,7.67,213,66,0.6,0.66,800,0
7,22.54,7.68,213,67,0.9,0.06,900,0
6.8,22.51,7.68,213,5341,0.8,0.17,198,0
7.4,22.5,7.68,213,89,0.7,0.12,373,0
1.7,22.49,7.68,213,136,3.4,0.22,250,0
6.1,22.5,7.69,213,212,1.4,0.06,1600,0
6.6,22.51,7.69,213,134,0.8,0.16,2225,0
6.6,22.48,7.69,213,76,0.8,0.19,2180,0
6,22.47,7.7,213,11041,1.2,0.14,6505,0
6.6,22.45,7.7,213,75,1,0.35,1088,0
0.6,22.47,7.7,213,61,4.1,0.34,640,0
1.8,22.45,7.71,213,769,2,0.07,685,0
7.1,22.44,7.71,213,14083,1,0.08,535,0
3.9,22.42,7.71,213,92,2.5,0.21,433,0
6.6,22.41,7.71,213,1348,1.1,0.08,303,0
7,22.41,7.72,213,95,0.8,0.13,385,0
7.3,22.41,7.72,213,78,0.7,1,713,0
0.5,22.4,7.73,213,268,21.2,1,788,0
7,22.4,7.73,213,82,0.9,0.57,803,0
6.1,22.39,7.73,213,61,1.1,0.75,2300,0
7,22.37,7.74,213,30298,1.3,2.89,2650,0
5.2,22.36,7.74,213,310,1.5,1.58,520,0
6.1,22.37,7.74,213,97,1.1,1,183,0
6.5,22.39,7.75,213,51,1.8,1.86,418,0
7.9,22.4,7.75,213,1717,1.1,1.79,278,0
7.5,22.37,7.75,213,55,0.9,1,910,0
7,22.39,7.76,213,67,1,1.5,195,0
7.3,22.36,7.76,213,61,0.9,1.78,1400,0
7.5,22.35,7.76,213,81,1.6,1,354,0
6.8,22.35,7.77,213,510,1.7,4.4,357,0
5.8,22.33,7.77,213,12150,0.9,1,185,0
7.1,22.34,7.77,213,50,0.8,1,460,0
6.8,22.35,7.78,214,34,0.7,1,5850,0
5.7,22.36,7.78,214,72,1.5,1.89,4450,0
6.7,22.38,7.79,214,99,1.2,0.63,1985,0
7,22.36,7.79,214,125,0.9,4.57,2425,0
6.5,22.37,7.79,214,116,1.3,2.26,2675,0
6.6,22.37,7.8,214,107,1.4,4.22,1823,0
7,22.36,7.8,214,85,0.8,4.78,2098,0
6.3,22.37,7.8,214,58,0.8,4.25,1510,0
7.5,22.31,7.82,214,70,1.1,0.6,118,0
6.8,22.3,7.82,214,60,1.3,0.9,148,0
6.8,22.32,7.82,214,97,1.4,1,374,0
5.9,22.3,7.83,214,63,2.2,1,157,0
4.9,22.28,7.83,214,113,2.2,3,144,0
6.8,22.3,7.83,214,79,1.4,2,128,0
7.1,22.31,7.84,214,1789,1.2,0.62,196,0
6.9,22.28,7.84,214,36,1.1,0.53,379,0
6.5,22.26,7.84,214,59,1,0.57,140,0
4.9,22.28,7.84,214,114,2.1,0.55,170,0
4.2,22.26,7.85,214,1108,1.4,0.34,500,0
6.9,22.27,7.85,214,88,0.9,0.37,280,0
6.3,22.29,7.86,214,169,1.2,0.31,7500,0
6,22.26,7.87,214,19575,1.1,0.29,46250,0
6,22.25,7.87,214,63,1.1,0.5,9500,0
5.8,22.27,7.87,214,69,0.6,0.11,57500,0
6.1,22.27,7.88,214,6381,0.5,1.11,12,0
6.4,22.24,7.88,214,9326,2.3,0.25,8,0
7.1,22.21,7.88,214,15158,1.9,0.77,48750,0
6.7,22.18,7.88,214,74,1,1.01,5000,0
6.8,22.18,7.89,214,429,1,0.29,47500,0
7.8,22.18,7.89,214,308,1.5,0.2,21750,0
7.7,22.15,7.89,214,505,2,1.28,49250,0
6.9,22.13,7.89,214,465,1.6,0.39,46500,0
7.3,22.11,7.9,214,183,1.6,0.34,10500,0
6.8,22.1,7.9,214,135,2.6,0.59,42750,0
7.2,22.12,7.9,214,103,3.1,0.54,31500,0
8,22.14,7.9,214,106,1.4,0.35,9,0
8.2,22.11,7.91,214,213,2,0.18,32,0
7,22.09,7.91,214,312,1.8,4.41,29,0
7.2,22.07,7.91,214,99,1.6,0.32,25,0
6.8,22.08,7.92,214,230,2.1,0.58,165,0
6.5,22.05,7.92,214,264,3,0.28,22,0
6.9,22.05,7.92,214,272,3,0.37,91,0
6.8,22.08,7.93,214,199,2.1,0.3,531,0
7.3,22.07,7.93,214,201,1.9,0.14,136,0
7,22.07,7.93,214,505,2.2,0.38,211,0
6.7,22.07,7.94,214,11170,3.1,0.23,488,0
7.2,22.08,7.94,214,4990,2.1,0.45,60,0
7,22.05,7.94,214,1516,1.9,0.4,2900,0
7,22.05,7.94,214,44600,1.7,0.88,323,1
7.4,22.02,7.95,214,890,15.6,0.31,360,1
7.2,22.02,7.95,214,160,2.9,0.46,242,1
7.1,21.99,7.95,214,111,1.8,0.35,97,1
7.2,22.01,7.95,214,139,3.8,0.39,45,1
6.7,21.99,7.96,214,288,3.3,0.17,205,1
6.7,21.98,7.96,214,95,4.1,0.27,390,1
0.2,21.97,7.96,214,84,185.8,0.39,592,0
6.8,21.94,7.96,215,3101,3.1,0.18,686,1
5.5,21.95,7.97,215,510,8.8,0.56,12,1
5.5,21.92,7.97,215,88,25,1.04,37,1
5.3,21.93,7.97,215,338,9.9,1.17,902,1
5.1,21.9,7.97,215,162,21.9,1.04,698,1
5.3,21.91,7.97,215,182,13.5,0.68,1800,1
4.9,21.92,7.98,215,2219,17.5,0.27,1800,1
4.3,21.93,7.98,215,414,24.5,0.32,1075,1
4.8,21.91,7.98,215,635,26,0.23,947,1
5.1,21.9,7.98,215,1051,16,0.62,1800,1
5.3,21.9,7.99,215,636,26.9,0.28,607,1
4.9,21.89,7.99,215,993,27.8,1,12,1
5.2,21.87,7.99,215,632,20.5,1,28666,1
6.4,21.84,7.99,215,973,21,1,21333,1
6.6,21.83,7.99,215,1156,18,0,25000,1
6.4,21.83,8,215,904,19.5,0.79,85,1
4.8,21.83,8,215,1110,2.4,0.95,23625,1
7.7,21.81,8,215,1290,1.2,0,15425,1
7.3,21.78,8,215,990,1.4,3.69,1366,1
7.1,21.77,8.01,215,914,1.5,1,21500,1
3.3,21.79,8.01,215,1808,185,1,148,1
6.2,21.79,8.01,215,1302,41.5,0.06,114,1
6,21.77,8.01,215,1286,1.4,1,17,1
5.9,21.75,8.01,215,280,1.5,3,5,1
6.4,21.73,8.02,215,344,1.2,1,17,1
5.9,21.75,8.02,215,310,1.5,0.85,8,1
7.3,21.74,8.02,215,303,2.1,1,130,1
8.5,21.71,8.02,215,1630,2.7,1,70,1
8.9,21.7,8.02,215,788,1.9,1,17,1
8,21.71,8.03,215,468,2.1,0,46,1
7.5,21.69,8.03,215,234,1.2,0,8,1
8.5,21.71,8.03,215,527,2,0.89,13,1
8.4,21.71,8.03,215,796,1.9,2.66,10,1
8.7,21.72,8.03,215,388,3.2,1.58,48,1
6.5,21.7,8.04,215,166,8.2,1.89,175,1
8.6,21.68,8.04,215,125,4.6,2.23,1754,1
8.9,21.68,8.04,215,144,1.2,1.9,162,1
9.8,21.69,8.04,215,87,1.2,2.26,206,1
7.6,21.66,8.04,215,84,1.3,2.54,126,1
8.7,21.64,8.05,215,103,1.2,1.59,800,1
8.4,21.63,8.05,215,117,2.4,2.26,309,1
8.7,21.61,8.05,215,287,2.5,1,280,1
8.2,21.62,8.05,215,130,1.9,1,143,1
8,21.63,8.05,215,109,1.4,1,257,1
8.4,21.64,8.05,215,246,1.5,1,199,1
9.4,21.61,8.06,215,147,1,1,56,1
8.1,21.59,8.06,215,202,2.4,0,1536,1
8.1,21.59,8.06,215,177,1.8,0,512,1
8.7,21.6,8.06,215,203,2.6,1.5,127,1
8.7,21.61,8.06,215,120,1.9,4,375,1
9.2,21.59,8.07,215,110,1.9,1,345,1
8.3,21.59,8.07,215,213,2,1,690,1
5.9,21.57,8.07,215,174,6.6,0,1487,1
4.3,21.59,8.07,216,244,12.3,0.88,703,1
8.2,21.56,8.07,216,162,3.3,0.56,715,1
11.1,21.54,8.08,216,163,3.6,1.59,445,1
7.4,21.51,8.08,216,143,2.7,0.55,1025,1
8.2,21.52,8.08,216,208,2.1,2,679,1
8.5,21.51,8.08,216,158,3.6,3,59417,1
11.4,21.52,8.08,216,338,1,1.5,1083,1
9.3,21.52,8.09,216,109,2.3,4,1400,1
9.1,21.51,8.09,216,131,3.9,4,485,1
7.9,21.51,8.09,216,116,0.8,4,1113,1
8.7,21.51,8.09,216,112,2.2,3,434,1
8.1,21.49,8.09,216,169,2.2,4,890,1
8.2,21.47,8.1,216,128,2.2,5,1425,1
7.7,21.45,8.1,216,221,1.8,6,493,1
7.6,21.43,8.1,216,193,2.5,4,2150,1
9.9,21.44,8.1,216,217,1.5,5,505,1
7.6,21.44,8.1,216,131,2.1,4,1450,1
5.5,21.44,8.1,216,176,6.8,3,650,1
7.6,21.43,8.11,216,199,1.3,4,180,1
7.7,21.4,8.11,216,170,1.4,0,400,1
8.3,21.38,8.11,216,95,1.7,0,360,1
6.9,21.36,8.11,216,92,3.2,0,918,1
7.7,21.33,8.11,216,65,2.1,0,1933,1
8.8,21.32,8.12,216,93,1.5,0,963,1
7.3,21.31,8.12,216,568,2,0,913,1
7.5,21.33,8.12,216,42,1.7,0,1655,1
7.8,21.35,8.12,216,45,1.6,0,1630,1
7,21.35,8.12,216,59,2.4,0,1913,1
7.5,21.33,8.12,216,1072,1.7,0,289,1
6.4,21.31,8.13,216,250,2.6,0,246,1
7.5,21.29,8.13,216,37,1.4,0,500,1
8,21.29,8.13,216,72,1.4,0,473,1
7.9,21.32,8.13,216,38,1.7,0,500,1
7.5,21.3,8.13,216,44,1.9,0,820,1
7.9,21.31,8.13,216,100,1.7,1,720,1
8,21.31,8.14,216,52,1.4,1,1290,1
7.7,21.3,8.14,216,61,1.5,2.56,1465,1
7.2,21.3,8.14,216,39,1.6,3.2,425,1
8.2,21.32,8.14,216,41,1.2,1.5,385,1
7.8,21.33,8.14,216,93,1.5,2,275,1
3.9,21.33,8.14,216,69,16.9,2,195,1
4.9,21.32,8.15,216,46,14.2,3.38,340,1
2.7,21.32,8.15,216,42,35.4,1,100,1
2.5,21.3,8.15,216,101,37.2,3,1055,1
8,21.31,8.15,216,49,1.4,3,2788,1
8.4,21.28,8.15,216,49,1.2,2.33,2275,1
6.8,21.27,8.15,216,58,1.9,4.56,2257,1
2.1,21.28,8.15,216,235,45.6,1.77,2785,1
4,21.26,8.16,216,182,22.4,2.66,2807,1
7.7,21.25,8.16,216,281,6.6,3.3,303,1
7.6,21.25,8.16,216,382,2,2.44,1400,1
7.7,21.25,8.16,216,48,1.6,3.56,918,1
7.7,21.25,8.16,216,48,1.9,2.21,1675,1
6.5,21.25,8.16,216,49,1,4.9,428,1
6.3,21.26,8.17,216,286,0.9,2.66,876,1
6.5,21.27,8.17,216,194,1.1,2.99,1083,1
6.9,21.25,8.17,216,107,1.1,4,689,1
6.6,21.24,8.17,216,51,1.6,3,882,1
6.4,21.25,8.17,216,46,3.9,2,1225,1
6.5,21.24,8.17,216,49,4.2,3.32,83,1
6.7,21.25,8.18,216,297,5,2.58,3025,1
4.2,21.23,8.18,216,287,18,3.3,868,1
4.6,21.24,8.18,216,375,158.8,2.25,4275,1
4.8,21.23,8.18,216,349,164,19,4175,1
4.2,21.21,8.19,216,4909,42,3.55,1525,1
7.1,21.2,8.19,216,23576,1.4,3.48,1105,1
6,21.16,8.2,216,2754,3.6,1,208,1
4.3,21.14,8.2,216,212,6.5,0.95,176,1
3.7,21.15,8.2,216,12771,4.3,0.99,357,1
4.6,21.12,8.2,216,304,4,0,191,1
6.2,21.12,8.2,216,1315,1.3,1,167,1
6.8,21.13,8.2,216,36593,1.1,1.55,150,1
6.6,21.12,8.21,216,1291,1.1,0.08,338,1
6,21.11,8.21,216,18865,1.5,0.18,253,1
5.9,21.1,8.21,216,605,1.1,0.38,189,1
7.3,21.11,8.21,216,600,0.9,0.86,507,1
7.3,21.09,8.21,216,729,1.5,3.44,544,1
6.7,21.1,8.21,216,2670,2,1.31,32,1
6.8,21.11,8.21,216,43,1.6,0.08,4950,1
7.1,21.11,8.22,216,59,1.8,0.17,75000,1
7.3,21.08,8.22,216,87,1.3,0.17,9000,1
6,21.05,8.22,216,74,1.8,0.14,70000,1
6.1,21.06,8.22,216,127,2,0.1,25500,1
6.2,21.07,8.22,217,226,1.8,0.06,52500,1
7,21.07,8.22,217,93,0.9,0.06,75000,1
7.3,21.08,8.23,217,76,1.6,0.09,27500,1
7.1,21.05,8.23,217,113,3.3,0.14,12000,1
7.1,21.05,8.23,217,100,4.4,0.49,70000,1
7,21.03,8.23,217,273,3.5,0.66,75000,1
7,21.02,8.23,217,201,3.3,0.06,62500,1
6.2,20.98,8.24,217,108,5.1,0.06,249,1
5.9,20.97,8.24,217,111,6.8,0.16,7,1
7.2,20.98,8.24,217,129,3.2,0.19,153,1
3.2,20.97,8.24,217,130,46,0.14,36,1
6.8,20.99,8.24,217,2323,2.6,0.35,77,1
6.9,20.96,8.24,217,462,3.2,0.34,132,1
6.9,20.94,8.24,217,107,3.4,0.07,525,1
6.1,20.96,8.25,217,299,4.2,0.08,603,1
6.8,20.94,8.25,217,33259,3.2,0.21,115,1
6.7,20.92,8.25,217,77,3.2,0.08,85,1
6.6,20.92,8.25,217,28018,5,0.13,148,1
6.7,20.93,8.25,217,350,3.6,0.56,75,1
7.1,20.92,8.25,217,133,3.2,0.52,460,1
6,20.92,8.25,217,143,59.1,0.65,205,1
6.7,20.9,8.25,217,609,2.3,0.63,295,1
6.3,20.89,8.26,217,129,2.5,2.08,56,1
6.3,20.9,8.26,217,130,2.4,3.91,33,1
6.3,20.91,8.26,217,130,4.4,0.54,90,1
7,20.91,8.26,217,120,3.8,0.6,322,1
7,20.91,8.26,217,139,3.6,1.42,577,1
7.1,20.91,8.26,217,13925,3.2,0.42,608,1
6.8,20.9,8.26,217,274,4.3,2.18,2925,1
6.8,20.91,8.26,217,326,3.4,1.58,355,1
7,20.9,8.27,217,7392,3.4,0.6,312.5,1
6.8,20.86,8.27,217,162,4,1.72,50,1
6.7,20.84,8.27,217,212,2.5,0.59,29,1
6.7,20.85,8.27,217,227,2.5,0.6,137000,1
6.9,20.86,8.27,217,314,2.2,0.6,68650,1
7.1,20.85,8.27,217,151,0.5,0.55,38667,1
6.6,20.82,8.27,217,123,0.9,0.55,77,1
6.9,20.82,8.28,217,139,0.8,2.14,49061,1
7.2,20.82,8.28,217,313,0.8,3.6,259,1
6.3,20.8,8.28,217,215,1.3,1.1,31,1
7.2,20.8,8.28,217,204,0.9,1.72,9000,1
6.9,20.77,8.28,217,205,0.8,2,358000,1
6.5,20.77,8.28,217,72,1.3,0.55,1693,1
7.1,20.78,8.28,217,70,0.6,0.64,116,1
7.1,20.76,8.28,217,52,0.6,0.56,188,1
7.5,20.74,8.28,217,830,0.6,0.56,13,1
2,20.71,8.29,217,95,2.4,0.96,33,1
5.6,20.72,8.29,217,164,1.2,0.89,44,1
7.1,20.72,8.29,217,231,0.6,0.76,7,1
6.1,20.7,8.29,217,101,0.8,0.57,350,1
6,20.67,8.29,217,64,1.1,0.93,809,1
6.5,20.68,8.29,217,4600,0.8,0.81,42,1
1.5,20.67,8.29,217,52,3.6,3.93,2400,1
2,20.66,8.29,217,265,2.4,0.62,22,1
7.2,20.63,8.3,217,12769,0.6,0.53,53,1
4,20.65,8.3,217,90,1.1,0.57,137,1
7.2,20.63,8.3,217,248,0.9,0.55,144,1
0.8,20.62,8.3,217,94,11.9,0.34,2400,1
6.4,20.59,8.3,217,76,1.3,0.37,170,1
6.3,20.57,8.3,217,192,1.2,0.35,110,1
5.4,20.58,8.3,217,79,1.6,0.46,5400,1
5.8,20.59,8.3,217,52,1,0.56,781,1
6.6,20.6,8.31,217,25964,1.1,0.67,316,1
7.7,20.59,8.31,217,54,1,0.31,223,1
7.1,20.56,8.31,217,1239,0.4,0.29,296,1
7.3,20.57,8.31,217,58,0.6,0.5,1050,1
7.8,20.57,8.31,217,77,0.7,0.11,737,1
7.3,20.56,8.31,217,80,1.3,1.11,1036,1
7,20.56,8.31,217,666,1.5,0.25,624,1
6,20.55,8.31,217,12768,0.7,0.77,1008,1
6.8,20.55,8.32,217,44,0.5,1.01,104,1
5.6,20.52,8.32,217,27,0.6,0.29,1259,1
7,20.53,8.32,217,59,1.1,0.2,106,1
6.7,20.52,8.32,217,119,0.5,1.28,816,1
6.2,20.53,8.32,217,54,0.8,0.39,1056,1
7.3,20.54,8.32,217,104,0.8,0.34,1179,1
7.6,20.56,8.32,217,92,0.6,0.59,1680,1
6.4,20.57,8.32,217,48,0.5,0.54,1748,1
7,20.58,8.33,217,20455,0.6,0.35,2865,1
6.7,20.59,8.33,217,56,1.2,0.18,753,1
6.7,20.57,8.33,218,2531,0.9,4.41,508,1
5.6,20.58,8.33,218,15362,1.5,0.32,427,1
7.4,20.55,8.33,218,62,0.9,0.58,452,1
6.7,20.56,8.33,218,59,1,0.28,681,1
7.1,20.55,8.33,218,83,1.5,0.37,935,1
6.2,20.52,8.33,218,50,1.6,0.72,31167,1
5.2,20.49,8.34,218,76,1.8,0.52,1100,1
6.8,20.5,8.34,218,64,1.1,0.3,1200,1
6.8,20.5,8.34,218,943,0.9,0.14,1600,1
6.2,20.51,8.34,218,38,0.7,0.38,925,1
4.5,20.51,8.34,218,43,1.1,0.23,975,1
4,20.52,8.34,218,48,0.9,0.45,27,1
7,20.51,8.34,218,309,1,0.4,8391,1
6.5,20.5,8.34,218,61,0.5,0.88,5330,1
4.6,20.46,8.35,218,995,0.6,0.31,8443,1
6.6,20.47,8.35,218,52,0.6,0.46,5500,1
7.1,20.48,8.35,218,44,1,0.35,4049,1
6.2,20.47,8.35,218,77,1.1,0.39,5672,1
6.2,20.44,8.35,218,19279,1.3,0.17,9423,1
7.3,20.42,8.35,218,69,2.9,0.27,4990,1
7.7,20.4,8.35,218,58,1.4,0.39,4301,1
6.5,20.41,8.35,218,98,1,0.18,7817,1
6.9,20.42,8.35,218,12327,1,0.56,3433,1
7.5,20.4,8.36,218,51,1.9,1.04,18125,1
7.2,20.41,8.36,218,371,3.7,1.17,6300,1
7,20.39,8.36,218,316,1.6,1.04,9517,1
7.5,20.38,8.36,218,241,1.5,0.68,2453,1
7.1,20.39,8.36,218,121,2.3,0.27,3048,1
7.4,20.4,8.36,218,64,1.7,0.32,6742,1
8.1,20.38,8.36,218,57,2.3,0.23,3052,1
7.8,20.37,8.36,218,211,2.1,0.62,10250,1
7.4,20.37,8.37,218,263,1.5,0.28,12842,1
7.2,20.34,8.37,218,111,1.4,0.25,6367,1
6.5,20.36,8.37,218,205,1,0.29,14920,1
6.3,20.27,8.37,218,207,1.8,0.16,1538,1
7.4,20.25,8.37,218,198,1.2,0.38,13575,1
6.9,20.27,8.37,218,729,3.4,0.34,36,1
5.8,20.25,8.38,218,1086,8.5,0.22,34,1
5.6,20.26,8.38,218,10910,15.3,0.26,23,1
5.4,20.25,8.38,218,17990,10,0.29,29,1
5.7,20.22,8.38,218,48500,14.3,1.1,83,1
5.7,20.22,8.38,218,830,24,1.47,164,1
3.5,20.22,8.38,218,104,20,0.73,45,1
3.2,20.2,8.38,218,440,27.3,0.34,67,1
4.7,20.22,8.38,218,732,32.8,0.62,304,1
4.8,20.22,8.39,218,1322,16,0.72,76,1
5.4,20.22,8.39,218,906,22,0.35,68,1
6.1,20.22,8.39,218,1064,14.7,0.75,116,1
6.1,20.22,8.39,218,1197,14.7,1.39,78,1
6,20.2,8.39,218,1383,15.3,0.69,60,1
4.8,20.18,8.39,218,1063,3.2,1.16,58,1
5,20.19,8.4,218,1532,2.8,1.46,63,1
8.3,20.16,8.4,218,1269,1,0.73,47,1
8.2,20.14,8.4,218,1194,1.2,0.94,32,1
3.1,20.16,8.4,218,780,195.4,1.11,0,1
8.3,20.13,8.4,218,773,1.2,0.36,0,1
5.5,20.12,8.4,218,820,7.6,0.02,0,1
5.1,20.14,8.4,218,650,1.7,0.3,0,1
5.3,20.13,8.4,218,390,1.7,0.37,0,1
8.7,20.11,8.4,218,334,4.9,0.28,28,1
5.1,20.1,8.41,218,316,1,0.23,32,1
10,20.11,8.41,218,1261,0.6,0.51,33,1
5.9,20.1,8.41,218,304,1.6,0.06,35,1
6.1,20.1,8.41,218,743,1.4,0.08,51,1
5.6,20.07,8.41,218,657,1.4,0.22,31,1
4.7,20.04,8.41,218,623,1.9,0.14,31,1
